ID;TRAILNAME;ACTIVITIES;TRAIL_CLASS;MAP_LABEL;ACCESSIBLE;GeoJSON;geo_point_2d
105;Greenwood Park Trail;WALKING, BICYCLING;Park Trail;Greenwood Park Trail;;"{""type"": ""LineString"", ""coordinates"": [[-76.44552463278812, 44.27029160459943], [-76.44551903253611, 44.27028191622348], [-76.44549198978335, 44.2701468893151], [-76.44548872345716, 44.2701292118416], [-76.44546755617432, 44.27000748002358], [-76.44546105985266, 44.2699689033392], [-76.4454585230631, 44.26995333323762], [-76.44544960653515, 44.26988911871496], [-76.44544657136315, 44.26988649223886], [-76.44543533832893, 44.2698770290983], [-76.44543426007868, 44.26987546721871], [-76.44542825724898, 44.26986979927289]]}";44.2700774569,-76.4454803046
106;Greenwood Park Trail;WALKING, BICYCLING;Park Trail;Greenwood Park Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.43880320318792, 44.27071364353164], [-76.43879491424805, 44.270711824786915], [-76.43878697340293, 44.27070932806884], [-76.43877937074065, 44.270706342396224], [-76.43877216391581, 44.27070289041084], [-76.43876540758124, 44.27069899829075], [-76.43875915297343, 44.270694695551754], [-76.43875344752408, 44.27069001482358], [-76.43874833450033, 44.27068499160244], [-76.4387438526767, 44.2706796639818], [-76.43874003604097, 44.270674072363576], [-76.43873691353653, 44.27066825915167], [-76.43873450884283, 44.27066226843045], [-76.43873284019581, 44.27065614563042], [-76.43873192024961, 44.270649937183705], [-76.43873175598063, 44.270643690171916], [-76.4387323486346, 44.27063745196914], [-76.43873369371714, 44.270631269882635], [-76.43873578102784, 44.270625190794135], [-76.43873859473763, 44.27061926080427], [-76.43874211350881, 44.27061352488298], [-76.43874631065685, 44.270608026528514], [-76.43875115435276, 44.27060280743751], [-76.43875660786449, 44.270597907188844], [-76.43876262983545, 44.27059336294343], [-76.43876917459816, 44.27058920916246], [-76.43877619252055, 44.27058547734604], [-76.43878363038236, 44.27058219579432], [-76.43879143177872, 44.27057938939287], [-76.43879953754792, 44.27057707942399], [-76.43880788622005, 44.27057528340525], [-76.4388164144831, 44.27057401495675], [-76.43882505525077, 44.27057325717824]]}";44.2706385722,-76.438764325
107;Greenwood Park Trail;WALKING, BICYCLING;Park Trail;Greenwood Park Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.43880320318792, 44.27071364353164], [-76.43881166943947, 44.270713978411045], [-76.43882015137135, 44.270713717580946], [-76.43882857658926, 44.27071293204138], [-76.4388368822932, 44.27071162764761], [-76.43884500657394, 44.270709814122355], [-76.43885288887458, 44.27070750498331], [-76.43886047044188, 44.270704717442364], [-76.43886769476423, 44.270701472277345], [-76.43887450799282, 44.27069779367713], [-76.43888085934312, 44.27069370906132], [-76.4388867014733, 44.27068924887591], [-76.43889199083718, 44.27068444636631], [-76.43889668800882, 44.27067933732954], [-76.43890075797636, 44.27067395984744], [-76.43890417040298, 44.27066835400279], [-76.43890689985308, 44.270662561580515], [-76.43890892598186, 44.270656625756295], [-76.4389102336869, 44.27065059077467], [-76.43891081322082, 44.2706445016193], [-76.43891066026387, 44.27063840367764], [-76.43890977595616, 44.270632342402635], [-76.43890816688918, 44.27062636297393], [-76.4389058450566, 44.27062050996109], [-76.43890282776493, 44.27061482699142], [-76.43889913750454, 44.27060935642473], [-76.43889480178194, 44.27060413903762], [-76.43888985291483, 44.27059921371957], [-76.43888432779116, 44.27059461718299], [-76.43887826759418, 44.270590383689616], [-76.43887171749552, 44.27058654479515], [-76.4388647263184, 44.27058312911401], [-76.4388573461738, 44.27058016210606], [-76.43884963207196, 44.27057766588684], [-76.43884164151241, 44.27057565906271], [-76.4388334340553, 44.27057415659217], [-76.43882505525077, 44.27057325717824]]}";44.2706488889,-76.4388719898
108;Greenwood Park Trail;WALKING, BICYCLING;Park Trail;Greenwood Park Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.43885812639694, 44.27089679025191], [-76.43884841711815, 44.27086982603856], [-76.43883735217155, 44.27084313280039], [-76.43882494614014, 44.27081674571333], [-76.43881725986574, 44.27080959234269], [-76.43881095909155, 44.27080175699821], [-76.43880559964936, 44.27079356373449], [-76.43880121933164, 44.270785070326916], [-76.4387978490265, 44.270776336667325], [-76.4387955124999, 44.270767424341734], [-76.43879422622798, 44.27075839619603], [-76.43879399928103, 44.27074931589281], [-76.43879483325935, 44.270740247462456], [-76.43879672228209, 44.27073125485165], [-76.43879965302868, 44.270722401472405], [-76.43880320318792, 44.27071364353164]]}";44.2708060631,-76.4388195696
109;K & P Trail;WALKING, BICYCLING, CROSS-COUNTRY SKIING, SNOWSHOEING;Trail-Paved Pathway;K & P Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.48642598819258, 44.24469907681878], [-76.48638221500171, 44.24468491560819], [-76.48633618590723, 44.24467490796311], [-76.4862890598719, 44.24466791093337], [-76.48624121517939, 44.2446639806846], [-76.48619303588211, 44.24466314876514], [-76.48614487089532, 44.24466515557427], [-76.48477867347435, 44.24478330147681], [-76.4846988854169, 44.244783594209046], [-76.48461944930624, 44.24477876634676], [-76.48454102168077, 44.244768737665964], [-76.48446425806958, 44.244753591990325], [-76.48438980009318, 44.24473345591338], [-76.48431987379486, 44.24470639935297]]}";44.2447254166,-76.4853705374
110;K & P Trail / Waterfront Trail;WALKING;Trail-Paved Pathway;K & P Trail / Waterfront Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.47986697850295, 44.228837927447834], [-76.47979858876333, 44.22890281993364], [-76.47979763174165, 44.22893647857641], [-76.47975189090708, 44.22897848169456], [-76.4796964566084, 44.228996764870416], [-76.47967418765269, 44.229014988377045], [-76.47964111069243, 44.22904411055838], [-76.4795855021382, 44.229103414787225], [-76.47949817707926, 44.22919167855489], [-76.47942081237767, 44.22927724826376], [-76.47936287833666, 44.22934470326619], [-76.47928593056804, 44.22944693124741], [-76.47922352149321, 44.22953469202284], [-76.4791613022862, 44.2296295897314], [-76.47912140075576, 44.229689654534425], [-76.4790577114727, 44.229789810103824], [-76.47900616547352, 44.22988753421262], [-76.47897565927141, 44.22996298596795], [-76.47894554182909, 44.23005396205897], [-76.4789277274753, 44.23013313247057], [-76.47900067487542, 44.23019721605824], [-76.47873946270656, 44.23043985106853], [-76.47875225662172, 44.23055913081497], [-76.4787673948648, 44.23070066997887], [-76.4787678770296, 44.2307864178764], [-76.47875959085002, 44.23085203232129], [-76.47876220500277, 44.230925964907534], [-76.47938170615487, 44.23101241042564], [-76.47879632159932, 44.232914430949705], [-76.47900783766022, 44.23295226615235]]}";44.2308661215,-76.4791087072
111;Cataraqui Estates BP Trail;WALKING, BICYCLING, CROSS-COUNTRY SKIING, SNOWSHOEING;Trail-Paved Pathway;Cataraqui Estates BP Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.56315057854472, 44.27894480153796], [-76.5631616208162, 44.27892300175653], [-76.56317106776811, 44.278900889223166], [-76.56317769455428, 44.27887827068676], [-76.5631814466077, 44.27885533239537], [-76.56318229303281, 44.278832263230036], [-76.56318022685986, 44.27880925314943], [-76.56317526510236, 44.27878649162573], [-76.56316744861698, 44.27876416608439], [-76.56315684176708, 44.278742460360874], [-76.56314353189278, 44.27872155318685], [-76.5631276285917, 44.27870161671851], [-76.56310801600966, 44.27868351084394], [-76.56308735005393, 44.27866146053336], [-76.56307101882851, 44.27863756012121], [-76.5630576306095, 44.2786127171563], [-76.56304728523459, 44.2785871168958], [-76.56304005985054, 44.27856095024413], [-76.56303600833796, 44.278534412329364], [-76.56303516090952, 44.278507701048134], [-76.56303752388459, 44.27848101558989], [-76.56304307964217, 44.2784545549515], [-76.56305178675225, 44.278428516453346], [-76.563062316129, 44.27840275450549], [-76.56306573659658, 44.27836786919004], [-76.56306541267627, 44.27833294843269], [-76.56306067427192, 44.27829822252583], [-76.56305156059436, 44.27826397882984], [-76.56303814706014, 44.278230500714784], [-76.56302054466765, 44.27819806521543], [-76.56299889907845, 44.27816694073882], [-76.56297150655539, 44.278138319399666], [-76.56296107528735, 44.27810522733018], [-76.56295410193994, 44.27807166919186], [-76.56295062520596, 44.278037831216366], [-76.56293766988408, 44.27801997998816], [-76.56292801815839, 44.278001042544695], [-76.56292064900875, 44.277981569090024], [-76.5629156157891, 44.27796170061534], [-76.56291295494078, 44.277941580971834], [-76.56291268572885, 44.27792135582923], [-76.5629148101024, 44.27790117162104], [-76.56291931268063, 44.27788117448444], [-76.5629261608641, 44.277861509202175], [-76.56293530507074, 44.277842318154285], [-76.56294667909492, 44.27782374028729], [-76.56295903667379, 44.27780541220008], [-76.56304538704221, 44.277695604050955], [-76.56310126674501, 44.27765316462457], [-76.56316038138019, 44.277613051113626], [-76.56322254367436, 44.27757539059203], [-76.5634995955328, 44.27744399425395], [-76.56354028228655, 44.27743255890789], [-76.56358200514708, 44.277423247914726], [-76.56362454953495, 44.27741610916048], [-76.56366575426044, 44.27740226457229], [-76.56370491483267, 44.2773856373012], [-76.56374166825012, 44.27736638147569], [-76.56377567382559, 44.27734467558974], [-76.56385069786663, 44.27728868058056], [-76.56395357328137, 44.27718387978534], [-76.56396960503383, 44.277168052301086], [-76.56398368009394, 44.27715129174603], [-76.56399569389112, 44.277133722644685], [-76.56400555716938, 44.277115475528674], [-76.56401319665054, 44.27709668596684], [-76.56408057038573, 44.276958343568154], [-76.56409096880506, 44.27693348623026], [-76.56409954768233, 44.276908343668275], [-76.56410502579114, 44.27688277683206], [-76.56410736073788, 44.27685698357652], [-76.56410653445303, 44.276831163508746], [-76.56410202050311, 44.27680557980186], [-76.5640693053179, 44.27646509752402], [-76.56402577005976, 44.27619739856261], [-76.5640246869413, 44.27615510291217], [-76.56402471300677, 44.276112791912425], [-76.564024223259, 44.276070470486], [-76.56403369645264, 44.27582419919403], [-76.56405733895798, 44.2756021364282], [-76.56405704170982, 44.275522306541674], [-76.56404578055577, 44.27516647917772], [-76.56404031474672, 44.27502913428019], [-76.56402177414734, 44.27492573953291], [-76.56397444520262, 44.274812129007195], [-76.56396756486652, 44.2747830702513], [-76.56396501843531, 44.274753603303516], [-76.56396606274731, 44.27472406536591], [-76.56397068982933, 44.27469468195697], [-76.56397784190536, 44.27466550129365], [-76.56399201372231, 44.2746320101837], [-76.56400206217468, 44.274597758067316], [-76.56400791054696, 44.274563006469], [-76.56404500179377, 44.274381890521916], [-76.56404419060628, 44.27436317740661], [-76.56404127805104, 44.274344588537346], [-76.5640362183752, 44.274326253009924], [-76.56402904676743, 44.274308298343044], [-76.56401981310438, 44.2742908494066], [-76.56400754139176, 44.27427443073344], [-76.56399464560714, 44.27425414442271], [-76.56398539925178, 44.27423281253204], [-76.56397873396419, 44.27421097332405], [-76.56397469864463, 44.274188787023284], [-76.56397332289842, 44.2741664164007], [-76.56397461681881, 44.274144025579595], [-76.56397798892199, 44.27412171086208], [-76.56400640787118, 44.27388836311347], [-76.56400862813405, 44.27385877043172], [-76.56400775726678, 44.27382918033733], [-76.56400328948897, 44.273799782110395], [-76.5639952590194, 44.27377080091242], [-76.56398250783445, 44.27374276461285], [-76.56396261419108, 44.273671812347516], [-76.56395186730437, 44.27359975100121], [-76.56394764734557, 44.273527297271215], [-76.56395509400946, 44.272915351392896], [-76.56398495365471, 44.27280500700193], [-76.56399352354997, 44.27275929987835], [-76.56399959566554, 44.27271338668481], [-76.56400316069171, 44.27266733785914], [-76.56399533465473, 44.272372320781834], [-76.5639906605261, 44.272348307645366], [-76.56398516739611, 44.27232438418565], [-76.56397885857635, 44.27230056482096], [-76.56386901382356, 44.2720049812098], [-76.5638482419726, 44.27191142029085]]}";44.2756075954,-76.5637685117
112;Waterfront Trail;WALKING, BICYCLING;Trail-Paved Pathway;Waterfront Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.47989788898992, 44.235080894274276], [-76.47994396058742, 44.23515176172432], [-76.47996808089472, 44.235188370692086], [-76.47997396084617, 44.235225214217024], [-76.47997649001076, 44.23525971715331], [-76.47995551249304, 44.235348127965636], [-76.47991791607356, 44.23550106201843], [-76.47988982646064, 44.23563601171685], [-76.47985868680898, 44.23578172356003], [-76.47984553574904, 44.23585216097797], [-76.47982789250815, 44.23594171785922], [-76.47981430632302, 44.23599429975585], [-76.47983814566864, 44.2360201888516], [-76.48004364334503, 44.23602348335436], [-76.48016628569205, 44.2360254664028], [-76.48090872571491, 44.23609522917175], [-76.48110361345464, 44.23612053765264]]}";44.2358344279,-76.4802224491
113;Rideau Trail;WALKING, SNOWSHOEING;Trail-Granular;Rideau Trail;No;"{""type"": ""LineString"", ""coordinates"": [[-76.5935137683634, 44.337886072184965], [-76.59364898144511, 44.33776989368058], [-76.59385097516447, 44.3375693712168], [-76.59410771277611, 44.33736808332938], [-76.59427713942603, 44.33725138146386], [-76.59438283336138, 44.33717129353383], [-76.59444008335498, 44.33714072076725], [-76.59453213360037, 44.33710846558483], [-76.59464725889407, 44.33706993630459], [-76.59472164547915, 44.33705937160373], [-76.59482914617087, 44.33704595954244], [-76.59494512897426, 44.33703957721061], [-76.59503968713717, 44.33703825473408], [-76.59512412640099, 44.33703111540731], [-76.59518687057515, 44.33701952464193], [-76.59523127309481, 44.33700460870657], [-76.59525566541431, 44.33698640623564], [-76.59526334026415, 44.336963665758184], [-76.59527261836472, 44.33693852522053], [-76.59529705542423, 44.33692151139745], [-76.59534144552191, 44.336906603695176], [-76.59540426649372, 44.33689738850042], [-76.59555151389371, 44.33688103380746], [-76.59574841868748, 44.336860419006214], [-76.59595394834697, 44.33685158695288], [-76.59617598178394, 44.33683895690923], [-76.59630344729784, 44.336827649271484], [-76.59651701796034, 44.336809177846135], [-76.59671077451435, 44.336794556308284], [-76.5969112611864, 44.336783415378164], [-76.5971266158887, 44.33676968039395], [-76.59727893769853, 44.336756834754496], [-76.59742475529372, 44.33674883432012], [-76.59761210327754, 44.336742638472856], [-76.59782081336417, 44.336729003237956], [-76.59795999759831, 44.3367210949309], [-76.59805953193884, 44.336719702122664], [-76.59822361496792, 44.336712642450124], [-76.59839271954613, 44.33670670063876], [-76.5985850129967, 44.33669924559329], [-76.59879733658829, 44.33669627142953], [-76.59895151948997, 44.33669053769494], [-76.5991968585337, 44.336681149607045], [-76.5993511259406, 44.336678988296775], [-76.5995435498142, 44.33667629143865], [-76.59975256292385, 44.3366733627671], [-76.59990516256742, 44.336671224070884], [-76.6000528625868, 44.33667153058311], [-76.60023192157803, 44.33666544657384], [-76.60043240699154, 44.33665430037713], [-76.60056505613588, 44.33665006362955], [-76.60074056660888, 44.33663569188065], [-76.60083472245246, 44.33662007545385], [-76.600945414054, 44.33660184947309], [-76.60108461749738, 44.33659513447115], [-76.60127369832898, 44.336591294985446], [-76.60147968089031, 44.336599118184246], [-76.6015994385392, 44.33660934950667], [-76.60177559699744, 44.336618788725985], [-76.60196824864462, 44.33662442126168], [-76.60211744037248, 44.33661875326635], [-76.60225986924677, 44.33660841833372], [-76.6024637430059, 44.336599604994326], [-76.60276379391436, 44.33658824591149], [-76.6030655647828, 44.336579245861216], [-76.60330761448687, 44.336571083493446], [-76.60361917874606, 44.336555984570055], [-76.60383976981402, 44.336551698350235], [-76.60399898214435, 44.33654827292853], [-76.60419625436236, 44.33654072949677], [-76.60443802164387, 44.33652185616042], [-76.60469955809906, 44.33649793298848], [-76.60496597607131, 44.33647036556401], [-76.60510501732288, 44.336457688925684], [-76.60522263277916, 44.33645008302143], [-76.60553406584619, 44.33643021908692], [-76.60577114776515, 44.33642212223829], [-76.60604776823298, 44.33640393478669], [-76.60635250393099, 44.3363817851453], [-76.60657946556395, 44.336367869059465], [-76.60679643992032, 44.336352904664516], [-76.60702828318759, 44.33633535385605], [-76.60728169308672, 44.33631748913658], [-76.60756993509241, 44.33629914253123], [-76.60786301324055, 44.33627595647592], [-76.60813317572557, 44.33626381300865], [-76.60835200093331, 44.33625596608735], [-76.60878267098789, 44.336227262015605], [-76.60913889315626, 44.33620676176658], [-76.60942869476465, 44.33618480354075], [-76.60969058685164, 44.336173960425356], [-76.61018117547283, 44.33615156197157], [-76.61049924039945, 44.336131587380606], [-76.61078748247063, 44.336113221845956], [-76.61102602270275, 44.3360979425177], [-76.61139537864125, 44.336072479312904], [-76.6117630139957, 44.3360446624339], [-76.61218518662494, 44.33600892526275], [-76.61262066742646, 44.33597418698446], [-76.61301981138467, 44.33594591120938], [-76.61335944085545, 44.33592562405293], [-76.61387326879843, 44.33590406889118], [-76.61436398346092, 44.33588640420479], [-76.61467238230198, 44.335877277071766], [-76.61533056252635, 44.33585486171095], [-76.61577478842068, 44.33583666015149], [-76.61606153555861, 44.33582426236351], [-76.61642461389627, 44.335811970926336], [-76.61682078950842, 44.33579683658466], [-76.61720038957758, 44.33578192659863], [-76.61757009815314, 44.33576954932813], [-76.6179631741569, 44.33576159421761], [-76.61834963484864, 44.33575492798614], [-76.61834457557849, 44.3359931972321], [-76.61834598682019, 44.33610513716294], [-76.61833784764022, 44.336231500019146], [-76.6183368000213, 44.33637443482524], [-76.6183385511222, 44.33649827175166], [-76.61834118035884, 44.33662388870628], [-76.61834419495047, 44.336733419238364], [-76.61834021469808, 44.336829941590395], [-76.61830273153231, 44.33697577848333], [-76.61827462705801, 44.33710003847938], [-76.61825602641868, 44.3371479453451], [-76.61824853812999, 44.33723737900916], [-76.61825214209543, 44.3373683370558], [-76.61826332777042, 44.337533722736495], [-76.6182625435312, 44.33768618963739], [-76.6182666048552, 44.33783381453895], [-76.61826495001475, 44.338014868030555], [-76.61825812071109, 44.338188854653545], [-76.6182520634778, 44.33833067292254], [-76.61825774738297, 44.33847708643514], [-76.6182554890187, 44.33857597012152], [-76.61825905925663, 44.33870574113688], [-76.61826223634296, 44.33882122113899], [-76.61826279206875, 44.33896174739961], [-76.61825325950215, 44.33909766489233], [-76.6182567162064, 44.33916312089785], [-76.6182635941437, 44.3392321007659], [-76.61825899554549, 44.33936675095155], [-76.61825971398648, 44.3395132357036], [-76.61825313127048, 44.33963600138315], [-76.61824876064024, 44.339778984099276], [-76.61824222311026, 44.339902937513266], [-76.61823842692702, 44.34000661449651], [-76.61819999775533, 44.34008754579665], [-76.61817542907067, 44.34015935882391], [-76.61816783205852, 44.34024521893518], [-76.61818671483614, 44.34032831716347], [-76.61824215284392, 44.34041328405016], [-76.61832374732977, 44.34048359266655], [-76.61838940426908, 44.34057793881328], [-76.61840841874776, 44.34066580756166], [-76.61840342424493, 44.34072542340802], [-76.61836192517016, 44.3407855655903], [-76.61833118116276, 44.34087413049201], [-76.61828636009307, 44.34093431972254], [-76.61825620570643, 44.34104432111137], [-76.6182661162353, 44.34116327979603], [-76.6182617936839, 44.34136819261796], [-76.61825375211818, 44.341799452750095], [-76.61826246574861, 44.34211613883973], [-76.61825393461048, 44.34240923866036], [-76.61824691071011, 44.342757117635436], [-76.61824869644511, 44.34294288295011], [-76.61824581654486, 44.343200180126665], [-76.61825549634703, 44.34343110003698], [-76.61825508663391, 44.34365739228847], [-76.6182575946218, 44.343869354718464], [-76.61825451845668, 44.34411951535608], [-76.61824213298216, 44.34427213568785], [-76.61825446857347, 44.34447919721195], [-76.61825228878882, 44.34464120606002], [-76.61824849152248, 44.344865160508824], [-76.61824150118747, 44.345093940724276], [-76.61825709470185, 44.34529856939135], [-76.61826207265749, 44.345599823292986], [-76.61826413354314, 44.345872984532896], [-76.61826924460125, 44.34605871253414], [-76.61827370040709, 44.34622062820944], [-76.61825303097449, 44.346313812768784], [-76.61822885299645, 44.346399907761686], [-76.61818741548069, 44.34646243291699], [-76.61813310348415, 44.34653942174315], [-76.61802264237124, 44.34662673925832], [-76.61791465406706, 44.34668306074873], [-76.61785305107395, 44.34673633923482], [-76.61780191823311, 44.346808518539994], [-76.6177738264944, 44.34687323303367], [-76.6177627852101, 44.34695437929893], [-76.61779169317396, 44.34703972124136], [-76.61782078527492, 44.347132208847796], [-76.61783017214029, 44.34723211578971], [-76.61787665393648, 44.347352941138965], [-76.61794603606823, 44.34746153121634], [-76.61804560670893, 44.34758159531316], [-76.61811153494708, 44.34768547080357], [-76.61816378761513, 44.34777524437597], [-76.61822900814909, 44.34785293236583], [-76.61828119679669, 44.34794032192827], [-76.61829624750374, 44.34800442426047], [-76.61829475881457, 44.348071138630665], [-76.6182725807484, 44.34810957107423], [-76.61823693814446, 44.34814103613103], [-76.61818449300584, 44.34816560089475], [-76.61812893351632, 44.348197358043514], [-76.61807735249744, 44.348252872288874], [-76.61805583046485, 44.34831510708839], [-76.61805545690335, 44.34842230956977], [-76.61804845864204, 44.34852959601118], [-76.61802413725687, 44.34861093044389], [-76.61800418631509, 44.348730312099754], [-76.61798662901069, 44.34881631230288], [-76.61799205049984, 44.34889246189397], [-76.61801359065886, 44.34895170168703], [-76.61806507186814, 44.34901290210276], [-76.61813406335428, 44.34910721001514], [-76.6182070865445, 44.349227650102684], [-76.618269640625, 44.3493291974281], [-76.61831851839142, 44.34941663206907], [-76.61834338414302, 44.34947583366935], [-76.61834794158356, 44.34952102650894], [-76.61834679318518, 44.34959964593698], [-76.61834310768438, 44.34970688632906], [-76.61834234008664, 44.349799796914446], [-76.61833539788942, 44.34990946921535], [-76.61833932881461, 44.35005233225168], [-76.6183369516955, 44.35020719997556], [-76.61833177535436, 44.35038116643677], [-76.61832197708341, 44.350507555213866], [-76.61831614502941, 44.350657700366945], [-76.618323203311, 44.35079338339486], [-76.61833669693296, 44.350921817941575], [-76.618373277685, 44.35104517178635], [-76.61842495514541, 44.351113510310576], [-76.61847637213006, 44.35117233647163], [-76.6184876403163, 44.35121982084355], [-76.61846539685463, 44.35125586847282], [-76.61841347202439, 44.35129947692394], [-76.61834822595489, 44.351340897378066], [-76.61830300139124, 44.351386796584634], [-76.61827451360922, 44.35143722201526], [-76.61826900934412, 44.351599281393455], [-76.6182628769064, 44.35222108102044], [-76.61828080901137, 44.35238995743871], [-76.61830744430246, 44.35251344320854], [-76.61834410276742, 44.3526391726853], [-76.61838667667054, 44.352738619077606], [-76.61841239349502, 44.352828771221176], [-76.61841793210675, 44.352909683398025], [-76.61841625820179, 44.35296925296761], [-76.61839751952053, 44.35301240097844], [-76.6183718328434, 44.35304372585864], [-76.61831021000071, 44.35309700572259], [-76.61828994901555, 44.35311493935891], [-76.61826488488336, 44.353136064150064], [-76.61824034944381, 44.35314590085478], [-76.61820995298112, 44.353153453754246], [-76.61818366407083, 44.3531597591627], [-76.61815672843308, 44.35317260980863], [-76.61814719894201, 44.35318697926901], [-76.61814304728776, 44.353216712438005], [-76.61814563350235, 44.353250499552594], [-76.61815712085935, 44.35330730780268], [-76.61817543938264, 44.353387148510926], [-76.61819524348172, 44.35350359091394], [-76.61821583142107, 44.35364859819322], [-76.61823583216704, 44.353772177968516], [-76.61824120299111, 44.35396743158274], [-76.61823487671683, 44.3542200200251], [-76.61823685836258, 44.35441294399609], [-76.61823076390098, 44.354553567740545], [-76.61822989280216, 44.35476319642373], [-76.61823690253229, 44.35501798161247], [-76.61823409533575, 44.35527765941324], [-76.61824544766, 44.35544901475047], [-76.61824754373887, 44.355525204168124], [-76.61806859276709, 44.35553727482439], [-76.61806937713868, 44.35556581718389]]}";44.3406982004,-76.6114405637
114;Lemoine Point Trail;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Lemoine Point Trail;;"{""type"": ""LineString"", ""coordinates"": [[-76.60780375254699, 44.23537956145996], [-76.60793465905735, 44.23533848234973], [-76.60803393461379, 44.2353001829448], [-76.60809337090284, 44.23528305056938], [-76.6081918204625, 44.23524831525592], [-76.60830842784267, 44.23519903183146], [-76.60835938272098, 44.23518001918106], [-76.60840594007156, 44.23515587098596], [-76.60844710716569, 44.23512710360218], [-76.60848200413139, 44.235094330830435], [-76.60850988741801, 44.235058251881064], [-76.60853016192078, 44.23501963679779], [-76.60859001335379, 44.234881587519986], [-76.60861167898214, 44.23480124535414], [-76.60864778823029, 44.23466734143482], [-76.6086571802331, 44.23460471905695], [-76.60867520174854, 44.23454308069923], [-76.60870167538313, 44.234483040162665], [-76.60873633688627, 44.234425194463945], [-76.6087788425638, 44.23437012013008], [-76.60884617165965, 44.23431200148332], [-76.60888762953309, 44.234277115877596], [-76.6090540044359, 44.23415757490029], [-76.60921276771784, 44.23405052730999], [-76.60940418109853, 44.23392586860812], [-76.60954969493012, 44.233819007256415], [-76.60958855409955, 44.23378606396155], [-76.60963069215, 44.233730273343525], [-76.60966436012633, 44.23367158427042], [-76.60968917786778, 44.23361065752906], [-76.6097048649134, 44.23354818220943], [-76.60971124513937, 44.23348486213445], [-76.60970824543215, 44.23342141317749], [-76.6096958991228, 44.23335855150994], [-76.60967434826807, 44.23329698546644], [-76.60964383351214, 44.233237411186344], [-76.60953040290718, 44.233062737504575], [-76.60938611327221, 44.23292280015296], [-76.609218499978, 44.232802247992296], [-76.60917761632848, 44.232760899589564], [-76.60915455937362, 44.23272789070063], [-76.6091388128677, 44.23269273061367], [-76.6091307488338, 44.23265625137284], [-76.60913055850813, 44.23261931367694], [-76.6091382456661, 44.232582791668115], [-76.60915362848976, 44.23254754949762], [-76.60917634396307, 44.23251441875642], [-76.60995020600372, 44.23196948263111]]}";44.2337172657,-76.6091035148
115;Lemoine Point Trail;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Lemoine Point Trail;;"{""type"": ""LineString"", ""coordinates"": [[-76.61478677555318, 44.22476052574026], [-76.61486389737652, 44.22469905992075], [-76.61491914777669, 44.22466016606356], [-76.61503864782185, 44.224571301496454], [-76.61514209829633, 44.224499198785175], [-76.61523733639069, 44.22436066606659], [-76.61526984655026, 44.224289697066645], [-76.61528394882981, 44.22425425966645], [-76.6152977578562, 44.22419592534729], [-76.61530634721781, 44.224122437087566], [-76.6153035642468, 44.22406911805641], [-76.61531436464287, 44.22402799330725], [-76.61535329241758, 44.22394059837217], [-76.61540756605805, 44.22386598677329], [-76.61545910617637, 44.22379726849869], [-76.61545507716261, 44.22374682556306], [-76.61545517673905, 44.22370204116736], [-76.6154545468352, 44.22363058834187], [-76.61548053766064, 44.22356352338182], [-76.6155308742914, 44.22347114316407], [-76.61565332622253, 44.22321786382886], [-76.61572961989903, 44.22302898620162], [-76.61584676890458, 44.222844698245396], [-76.61603822185752, 44.22231132769544], [-76.61606650610236, 44.22220669099746], [-76.61608105583694, 44.22212550713305], [-76.6160767755087, 44.222056651111856], [-76.61605830998595, 44.22198328811525], [-76.61602219582785, 44.22193129330898], [-76.6159313605499, 44.22188017268823], [-76.61582926264245, 44.221841122383275], [-76.61575186855454, 44.22179695807607], [-76.61566346574331, 44.22171364571174], [-76.6156252962425, 44.221653543791575], [-76.61555601163779, 44.221542566387704], [-76.61548627141438, 44.22141492172365], [-76.61540685923912, 44.22129694175362], [-76.61536712070838, 44.2212367611014]]}";44.2230007799,-76.615582876
